StopName,ArrivalTime,DepartureTime
PIMS Hospital,16:16:15,16:16:15
Capt. Naeem Tufail Shaheed Chow,15:50:00,15:50:00
Tamma Stop,15:51:30,15:51:50
COMSATS University,15:53:40,15:54:00
Hostel City,15:55:40,15:56:00
Gulshan Al Huda Community,15:58:00,15:58:20
Chatta Bakhtawar,15:59:55,16:00:15
Green Avenue,16:02:15,16:02:35
Park View City,16:04:05,16:04:25
Shahzad Town,16:06:55,16:07:15
N.I.H Allergy Center,16:08:50,16:09:10
N.A.R.C Colony,16:11:20,16:11:40
Rawal Dam Colony,16:12:40,16:13:00
School Board Stop,16:13:55,16:14:15
Rawal Town,16:15:45,16:16:05
Garden Avenue,16:17:45,16:18:05
Margalla Town,16:20:35,16:20:55
ITP Driving License Centre,16:23:25,16:23:45
Faizabad,16:26:40,16:27:00
Kach Naar Park I-8,16:29:30,16:29:50
H-8,16:32:00,16:32:20
TNT,16:34:35,16:34:55
Children Hospital,16:35:00,16:35:20
PIMS Hospital,16:36:15,16:36:15
Capt. Naeem Tufail Shaheed Chow,16:10:00,16:10:00
Tamma Stop,16:11:30,16:11:50
COMSATS University,16:13:40,16:14:00
Hostel City,16:15:40,16:16:00
Gulshan Al Huda Community,16:18:00,16:18:20
Chatta Bakhtawar,16:19:55,16:20:15
Green Avenue,16:22:15,16:22:35
Park View City,16:24:05,16:24:25
Shahzad Town,16:26:55,16:27:15
N.I.H Allergy Center,16:28:50,16:29:10
N.A.R.C Colony,16:31:20,16:31:40
Rawal Dam Colony,16:32:40,16:33:00
School Board Stop,16:33:55,16:34:15
Rawal Town,16:35:45,16:36:05
Garden Avenue,16:37:45,16:38:05
Margalla Town,16:40:35,16:40:55
ITP Driving License Centre,16:43:25,16:43:45
Faizabad,16:46:40,16:47:00
Kach Naar Park I-8,16:49:30,16:49:50
H-8,16:52:00,16:52:20
TNT,16:54:35,16:54:55
Children Hospital,16:55:00,16:55:20
PIMS Hospital,16:56:15,16:56:15
Capt. Naeem Tufail Shaheed Chow,16:30:00,16:30:00
Tamma Stop,16:31:30,16:31:50
COMSATS University,16:33:40,16:34:00
Hostel City,16:35:40,16:36:00
Gulshan Al Huda Community,16:38:00,16:38:20
Chatta Bakhtawar,16:39:55,16:40:15
Green Avenue,16:42:15,16:42:35
Park View City,16:44:05,16:44:25
Shahzad Town,16:46:55,16:47:15
N.I.H Allergy Center,16:48:50,16:49:10
N.A.R.C Colony,16:51:20,16:51:40
Rawal Dam Colony,16:52:40,16:53:00
School Board Stop,16:53:55,16:54:15
Rawal Town,16:55:45,16:56:05
Garden Avenue,16:57:45,16:58:05
Margalla Town,17:00:35,17:00:55
ITP Driving License Centre,17:03:25,17:03:45
Faizabad,17:06:40,17:07:00
Kach Naar Park I-8,17:09:30,17:09:50
H-8,17:12:00,17:12:20
TNT,17:14:35,17:14:55
Children Hospital,17:15:00,17:15:20
PIMS Hospital,17:16:15,17:16:15
