StopName,ArrivalTime,DepartureTime
G-10 Metro Station,09:20:55,09:21:15
Police Foundation,09:23:35,09:23:55
Nust Metro Station,09:27:15,09:27:15
D-12,09:00:00,09:00:00
D-12 Markaz,09:01:10,09:01:30
IESCO D-12,09:02:50,09:03:10
D-12 Service Road,09:05:20,09:05:40
E-11/2 / FECHS / Islamabad International Hospite,09:08:10,09:08:30
Multy Stop/Islamabad Gardens,09:11:20,09:11:40
NPF Housing Society,09:13:10,09:13:30
Khayaban e Iqbal,09:16:00,09:16:20
Sumbal Road,09:18:35,09:18:55
G10/G11,09:21:25,09:21:45
Sunday Bazar,09:24:25,09:24:45
G-10 Metro Station,09:25:55,09:26:15
Police Foundation,09:28:35,09:28:55
Nust Metro Station,09:32:15,09:32:15
D-12,09:05:00,09:05:00
D-12 Markaz,09:06:10,09:06:30
IESCO D-12,09:07:50,09:08:10
D-12 Service Road,09:10:20,09:10:40
E-11/2 / FECHS / Islamabad International Hospite,09:13:10,09:13:30
Multy Stop/Islamabad Gardens,09:16:20,09:16:40
NPF Housing Society,09:18:10,09:18:30
Khayaban e Iqbal,09:21:00,09:21:20
Sumbal Road,09:23:35,09:23:55
G10/G11,09:26:25,09:26:45
Sunday Bazar,09:29:25,09:29:45
G-10 Metro Station,09:30:55,09:31:15
Police Foundation,09:33:35,09:33:55
Nust Metro Station,09:37:15,09:37:15
D-12,09:10:00,09:10:00
D-12 Markaz,09:11:10,09:11:30
IESCO D-12,09:12:50,09:13:10
D-12 Service Road,09:15:20,09:15:40
E-11/2 / FECHS / Islamabad International Hospite,09:18:10,09:18:30
Multy Stop/Islamabad Gardens,09:21:20,09:21:40
NPF Housing Society,09:23:10,09:23:30
Khayaban e Iqbal,09:26:00,09:26:20
Sumbal Road,09:28:35,09:28:55
G10/G11,09:31:25,09:31:45
Sunday Bazar,09:34:25,09:34:45
G-10 Metro Station,09:35:55,09:36:15
Police Foundation,09:38:35,09:38:55
Nust Metro Station,09:42:15,09:42:15
D-12,09:15:00,09:15:00
D-12 Markaz,09:16:10,09:16:30
IESCO D-12,09:17:50,09:18:10
D-12 Service Road,09:20:20,09:20:40
E-11/2 / FECHS / Islamabad International Hospite,09:23:10,09:23:30
Multy Stop/Islamabad Gardens,09:26:20,09:26:40
NPF Housing Society,09:28:10,09:28:30
Khayaban e Iqbal,09:31:00,09:31:20
Sumbal Road,09:33:35,09:33:55
G10/G11,09:36:25,09:36:45
Sunday Bazar,09:39:25,09:39:45
G-10 Metro Station,09:40:55,09:41:15
Police Foundation,09:43:35,09:43:55
Nust Metro Station,09:47:15,09:47:15
D-12,09:20:00,09:20:00
D-12 Markaz,09:21:10,09:21:30
IESCO D-12,09:22:50,09:23:10
D-12 Service Road,09:25:20,09:25:40
E-11/2 / FECHS / Islamabad International Hospite,09:28:10,09:28:30
Multy Stop/Islamabad Gardens,09:31:20,09:31:40
NPF Housing Society,09:33:10,09:33:30
Khayaban e Iqbal,09:36:00,09:36:20
Sumbal Road,09:38:35,09:38:55
G10/G11,09:41:25,09:41:45
Sunday Bazar,09:44:25,09:44:45
G-10 Metro Station,09:45:55,09:46:15
Police Foundation,09:48:35,09:48:55
Nust Metro Station,09:52:15,09:52:15
D-12,09:25:00,09:25:00
D-12 Markaz,09:26:10,09:26:30
